"","Gotaways","Arrests"
"Apr-22","61,624"," 203,504 "
"May-22","63,101"," 224,370 "
"Jun-22","53,329"," 192,399 "
"Jul-22","44,730"," 181,834 "
"Aug-22","44,943"," 181,774 "
"Sep-22","45,344"," 207,597 "
"Oct-22","49,456"," 205,142 "
"Nov-22","93,461"," 207,706 "
"Dec-22","87,631"," 222,023 "
"Jan-23","60,000"," 129,514 "
"Feb-23","67,576"," 130,520 "
"Mar-23","74,924"," 163,675 "
"Apr-23","73,463"," 183,919 "
"May-23","60,327"," 171,387 "
"Jun-23","32,840"," 99,539 "
"Jul-23","27,160"," 132,652 "
"Aug-23","28,355"," 181,054 "
"Sep-23","33,203"," 218,763 "
"Oct-23","32,379"," 188,778 "
"Nov-23","28,781"," 191,112 "
"Dec-23","23,882","249,785 "
"Jan-24","15500","124220 "
"Feb-24","21758","140709 "
"Mar-24","20900","137557 "
